,gene,tau,max_group
0,Tfap2d,0.98657846,MB Glut
1,Il1rl2,0.9732539,Immune
2,Slc9a4,0.92688835,MOB-CR Glut
3,Stat1,0.4645739,OEG
4,Aox3,0.873847,Vascular
5,Bmpr2,0.14187191,MB-HB Sero
6,Igfbp2,0.90140694,Astro-Epen
7,Cxcr2,0.5130879,MB Dopa
8,Slc11a1,0.9916873,Immune
9,Sgpp2,0.651615,Pineal Glut
10,Utp14b,0.78864044,Astro-Epen
11,Dock10,0.5594435,Oligo
12,Inpp5d,0.98841226,Immune
13,Neu4,0.96862066,Oligo
14,Tmem163,0.6737469,MOB-CR Glut
15,Ptprc,0.99780285,Immune
16,Lhx9,0.90913284,MH-LH Glut
17,Ptgs2,0.9380344,IT-ET Glut
18,Rgs8,0.5496008,TH Glut
19,Astn1,0.20476499,HY MM Glut
20,Tnfsf18,0.9178136,MH-LH Glut
21,Cd247,0.94352424,HY Gnrh1 Glut
22,Atf6,0.34604764,NP-CT-L6b Glut
23,Fcgr2b,0.97991365,Immune
24,Fcer1g,0.9850036,Immune
25,Cd48,0.9972104,Immune
26,Cd84,0.9970218,Immune
27,Slamf9,0.99577254,Immune
28,Ifi205,0.8526759,Immune
29,Tgfb2,0.7441134,HY MM Glut
30,Cd46,0.39327344,TH Glut
31,Cr1l,0.28616667,TH Glut
32,Fam107b,0.82129794,Pineal Glut
33,Celf2,0.22237077,IT-ET Glut
34,Mrc1,0.93947875,Immune
35,Ptf1a,0.8295318,IT-ET Glut
36,Traf2,0.33405244,TH Glut
37,Gsn,0.91540235,OEG
38,Lhx6,0.9740343,MGE GABA
39,Arhgap15,0.8295385,IT-ET Glut
40,Lypd6,0.8376044,Pineal Glut
41,Rprm,0.8438563,HY MM Glut
42,Acvr1,0.52223295,Pineal Glut
43,Scn1a,0.34169638,HY MM Glut
44,Gad1,0.62768865,CGE GABA
45,Itga6,0.838649,Immune
46,Itgav,0.7093853,Oligo
47,Prr5l,0.9426023,Oligo
48,Slc1a2,0.6165861,Astro-Epen
49,Cd44,0.9500732,HY MM Glut
50,Bdnf,0.779301,HY MM Glut
51,Bbox1,0.94649434,Astro-Epen
52,Thbs1,0.860247,OEG
53,B2m,0.8382424,Immune
54,Mertk,0.9397094,Immune
55,Il1b,0.95455587,Immune
56,Pcna,0.33508193,HY Gnrh1 Glut
57,Cst7,0.9047169,Pineal Glut
58,Cd40,0.9504786,Vascular
59,Tshz2,0.5344986,CNU-HYa Glut
60,Vapb,0.23940416,MB-HB Sero
61,Gnas,0.12227026,MB-HB Sero
62,Ctsz,0.881207,Immune
63,Nlgn1,0.22176349,HY Gnrh1 Glut
64,Phc3,0.19441082,HY MM Glut
65,Mfn1,0.38206866,Astro-Epen
66,Trpc3,0.72669816,TH Glut
67,Lhfp,0.7347926,CB Glut
68,Frem2,0.9163264,Astro-Epen
69,P2ry13,0.9978887,Immune
70,P2ry12,0.8875525,Immune
71,Ptx3,0.8818033,CB GABA
72,Gria2,0.22823763,LSX GABA
73,Ctss,0.99509794,Immune
74,Chil3,0.9661971,HY Gnrh1 Glut
