,gene,tau,max_group
0,Tfap2d,0.9587105,IC Tfap2d Maf Glut
1,Il1rl2,0.9838396,DC NN
2,Slc9a4,0.981915,CA3 Glut
3,Stat1,0.63348424,POR Spp1 Gly-Gaba
4,Aox3,0.98371464,VLMC NN
5,Bmpr2,0.22889307,Endo NN
6,Igfbp2,0.9723195,CHOR NN
7,Cxcr2,0.98568743,Monocytes NN
8,Slc11a1,0.98960096,Monocytes NN
9,Sgpp2,0.65618753,PB-CUN Ppp1r1c Glut
10,Utp14b,0.7723811,Astro-TE NN
11,Dock10,0.56441146,Oligo NN
12,Inpp5d,0.9826209,Microglia NN
13,Neu4,0.99537545,OPC NN
14,Tmem163,0.6469896,HPF CR Glut
15,Ptprc,0.9873602,Monocytes NN
16,Lhx9,0.8844094,MH Tac2 Glut
17,Ptgs2,0.9609545,CA3 Glut
18,Rgs8,0.55069077,CBX Purkinje Gaba
19,Astn1,0.13876978,DMH Nkx2-4 Glut
20,Tnfsf18,0.99133587,BAM NN
21,Cd247,0.96855307,Lymphoid NN
22,Atf6,0.37163216,L6 CT CTX Glut
23,Fcgr2b,0.9917515,BAM NN
24,Fcer1g,0.97724265,BAM NN
25,Cd48,0.9918551,DC NN
26,Cd84,0.988072,Microglia NN
27,Slamf9,0.99766415,DC NN
28,Ifi205,0.99531084,DC NN
29,Tgfb2,0.825537,CHOR NN
30,Cd46,0.36519426,COAp-TR-ENTmv Glut
31,Cr1l,0.34795842,DMX Tbx20 Chol
32,Fam107b,0.9179114,CBX Purkinje Gaba
33,Celf2,0.2307833,MSN D1 Sema5a Gaba
34,Mrc1,0.99187326,BAM NN
35,Ptf1a,0.9930389,Astro-CB NN
36,Traf2,0.8226984,CBX Purkinje Gaba
37,Gsn,0.9443087,ABC NN
38,Lhx6,0.9548307,Sst Chodl Gaba
39,Arhgap15,0.89698786,Lymphoid NN
40,Lypd6,0.8262435,Pineal Crx Glut
41,Rprm,0.84022504,MM-ant Foxb1 Glut
42,Acvr1,0.50187767,Pineal Crx Glut
43,Scn1a,0.35122743,MY Calcb Chol
44,Gad1,0.6083479,Lamp5 Lhx6 Gaba
45,Itga6,0.87343645,Endo NN
46,Itgav,0.8151006,OPC NN
47,Prr5l,0.96637875,Oligo NN
48,Slc1a2,0.6401314,Astro-TE NN
49,Cd44,0.95727015,Monocytes NN
50,Bdnf,0.7196298,IO Glut
51,Bbox1,0.97315884,Ependymal NN
52,Thbs1,0.9569032,ABC NN
53,B2m,0.85515225,Lymphoid NN
54,Mertk,0.96344006,Microglia NN
55,Il1b,0.995566,Monocytes NN
56,Pcna,0.65861374,POR Spp1 Gly-Gaba
57,Cst7,0.99260384,Lymphoid NN
58,Cd40,0.93841106,Endo NN
59,Tshz2,0.56363946,L5 PPP Glut
60,Vapb,0.2179504,POR Spp1 Gly-Gaba
61,Gnas,0.16666053,MDRNd Bves Glut
62,Ctsz,0.88146156,Microglia NN
63,Nlgn1,0.22500598,MOB Trdn Gaba
64,Phc3,0.13542497,PH-an Pitx2 Glut
65,Mfn1,0.45956182,Bergmann NN
66,Trpc3,0.7548147,CBX Purkinje Gaba
67,Lhfp,0.794283,CB Granule Glut
68,Frem2,0.93871087,Astro-TE NN
69,P2ry13,0.9963231,Microglia NN
70,P2ry12,0.8752909,Microglia NN
71,Ptx3,0.9427578,SPVC Nmu Glut
72,Gria2,0.2028575,DCO UBC Glut
73,Ctss,0.9873678,Microglia NN
74,Chil3,0.9912163,Monocytes NN
75,Csf1,0.7581716,Oligo NN
76,Gpr88,0.89768094,MSN D2 Gaba
77,Dpyd,0.63490796,OPC NN
78,Ndst4,0.7339541,PDTg Otp Shroom3 Gaba
79,Ank2,0.25905666,Bergmann NN
80,Dkk2,0.91211754,L5 NP CTX Glut
81,Gbp5,0.9892968,Endo NN
82,Penk,0.8703645,MSN D2 Gaba
83,Car8,0.93285704,CBX Purkinje Gaba
84,Atp6v0d2,0.9759493,BAM NN
85,Tnfsf15,0.97116446,RO-RPA Pkd2l1 Gaba
86,Tnc,0.97620076,Bergmann NN
87,Plin2,0.9423666,BAM NN
88,Cdkn2a,0.97458184,NLOT Rho Glut
89,Cyp2j12,0.993287,Oligo NN
90,Trabd2b,0.96071166,ABC NN
91,Ptch2,0.8768778,Bergmann NN
92,Cdc20,0.9476196,L4 RSP-ACA Glut
93,Slc2a1,0.8944683,Endo NN
94,Csf3r,0.9926457,Microglia NN
95,Sdc3,0.48656335,OPC NN
96,Laptm5,0.984981,Microglia NN
97,Cd52,0.98702496,DC NN
98,Rsrp1,0.24193801,BAM NN
99,C1qb,0.99087274,Microglia NN
100,C1qc,0.9926197,Microglia NN
101,Pink1,0.35962144,POR Spp1 Gly-Gaba
102,Tmco4,0.813641,CHOR NN
103,Mfn2,0.23826738,AD Serpinb7 Glut
104,Park7,0.39075676,Pineal Crx Glut
105,Camta1,0.1535096,POR Spp1 Gly-Gaba
106,Prdm16,0.82532364,CHOR NN
107,Isg15,0.9655388,Endo NN
108,Cdk6,0.956203,IO Glut
109,Steap1,0.9973308,CHOR NN
110,Il6,0.9918996,DC NN
